dll_name,registration_call_address,interface_uuid,interface_address,flags,security_callback,has_security_descriptor,global_caching_enabled
FwRemoteSvr.dll,0x1800094e9,6b5bdd1e-528c-422c-af8c-a4079be4fe48,0x180013180,0x9,0x180001290,False,True
httpprxm.dll,0x180004325,c36be077-e14b-4fe9-8abc-e856ef4f048b,0x1800130b0,0x9,0x180003470,False,True
httpprxm.dll,0x180004415,2e6035b2-e8f1-41a7-a044-656b439c4c34,0x180013110,0x9,0x18000db30,False,True
ias.dll,0x180002e98,7d814569-35b3-4850-bb32-83035fcebf6e,0x180006b60,unknown,0x180003010,False,unknown
iphlpsvc.dll,0x18000e367,552d076a-cb29-4e44-8b6a-d15e59e2c0af,0x180072100,unknown,unknown,False,unknown
iphlpsvc.dll,0x18000e5e5,unknown,r8,0x21,0,False,True
ipnathlp.dll,0x180033d05,e64b9aee-f372-4312-9a14-8f1502b5c8e3,0x1800825f0,0x29,0,False,True
iscsiexe.dll,0x18001425c,fd6bb951-c830-4734-bf2c-18ba6ec7ab49,0x18001fa90,0,0,False,True
ismserv.exe,0x1400017a0,68dcd486-669e-11d1-ab0c-00c04fc2dcd2,0x14000d000,0,,False,True
KdsSvc.dll,0x180001a21,b9785960-524f-11df-8b6d-83dcded72085,0x180007150,0x9,0x180001850,False,True
keyiso.dll,0x1800039f6,b25a52bf-e5dd-4f4a-aea6-8ca7272a0e86,0x18000f0c0,unknown,0,False,unknown
keyiso.dll,0x180003a3f,8fb74744-b2ff-4c00-be0d-9ef9a191fe1b,0x18000f060,unknown,0,False,unknown
keyiso.dll,0x180003a87,51a227ae-825b-41f2-b4a9-1ac9557a1018,0x18000f000,unknown,0,False,unknown
LogonController.dll,0x180022cd7,f3f09ffd-fbcf-4291-944d-70ad6e0e73bb,0x18009e120,unknown,0x1800256f0,False,unknown
LsaIso.exe,0x140004a18,39730ec4-82ea-4fdf-8a45-c408e393e212,0x140035050,0,,False,True
LsaIso.exe,0x140004ab9,unknown,0x140034d30,0,,False,True
LsaIso.exe,0x140004b19,eda3c9e4-0d4c-4bb7-b612-0e89d4f0607d,0x1400352b0,0,,False,True
LsaIso.exe,0x140007b6a,57cce375-4430-47a6-bb96-2cad0d2fd140,0x1400361c0,0,,False,True
LsaIso.exe,0x14000ceb3,9cfeead6-6135-4fcf-831a-fd3b236023f8,0x140037ac0,0,,False,True
LsaIso.exe,0x14002e149,45527ae0-2a7d-4cec-b214-739f4159c392,0x1400394f0,0,,False,True
